school_name,sub_county,county,Location,geocoding_query,formatted_address,location_type,Unnamed: 7,status,distance_to_center_km,latitude,longitude,cluster_id,distance_to_cluster_center_km
Marti mixed day & boarding sec school,Samburu West sub county,Samburu County,"1.5146722, 36.7604027","Marti mixed day & boarding sec school, Samburu West sub county, Samburu County, Kenya","Marti, Kenya",APPROXIMATE,,SUCCESS,186.782023514328,1.5146722,36.7604027,5,36.92524664087053
Lodungokwek mixed,Samburu East sub county,Samburu County,"1.2154506, 36.954107","Lodungokwek mixed, Samburu East sub county, Samburu County, Kenya","Samburu County, Kenya",APPROXIMATE,,SUCCESS,174.935059484506,1.2154506,36.954107,5,17.74940849182748
Kyamboo Secondary School,Migwani,Kitui County,"-1.0842666, 38.0223298","Kyamboo Secondary School, Migwani, Kitui County, Kenya","W28C+7WW, Migwani, Kenya",GEOMETRIC_CENTER,,SUCCESS,278.403122070404,-1.0842666,38.0223298,18,44.45463191388585
Kangii Secondary Scgool,Kitui West,Kitui County,"-1.3750813, 37.9952144","Kangii Secondary Scgool, Kitui West, Kitui County, Kenya","Kitui, Kenya",APPROXIMATE,,SUCCESS,292.807723907824,-1.3750813,37.9952144,18,16.01568063183272
Ngiluni Secondary School,Kisasi,Kitui County,"-1.5108588, 37.9847724","Ngiluni Secondary School, Kisasi, Kitui County, Kenya","Mwe, Kenya",GEOMETRIC_CENTER,,SUCCESS,300.696435033492,-1.5108588,37.9847724,18,13.02909396306803
Kyanika Secondary School,Nzambani,Kitui County,"-1.3847463, 38.0158347","Kyanika Secondary School, Nzambani, Kitui County, Kenya","Kibwezi - Kitui Rd, Kenya",GEOMETRIC_CENTER,,SUCCESS,295.305525024992,-1.3847463,38.0158347,18,13.663068262889514
Kavia Secondary School,Nzambani,Kitui County,"-1.4266752, 38.0843008","Kavia Secondary School, Nzambani, Kitui County, Kenya","Nzambani, Kenya",APPROXIMATE,,SUCCESS,304.219225568063,-1.4266752,38.0843008,18,5.773838811491439
Kikuu Secondary school,Zombe,Kitui County,"-1.4524714, 38.234841","Kikuu Secondary school, Zombe, Kitui County, Kenya","Zombe, Kenya",APPROXIMATE,,SUCCESS,319.729642984415,-1.4524714,38.234841,18,15.564309881731145
Kiliwa Secondary school,Mumoni,Kitui County,"-0.5036955, 38.0208151","Kiliwa Secondary school, Mumoni, Kitui County, Kenya","Mumoni, Kenya",APPROXIMATE,,SUCCESS,253.635500000593,-0.5036955,38.0208151,2,0.0
Simisi Secondary school,Ikutha,Kitui County,"-2.009464, 38.330505","Simisi Secondary school, Ikutha, Kitui County, Kenya","Athi Kitui South, Kenya",GEOMETRIC_CENTER,,SUCCESS,365.371190678704,-2.009464,38.330505,18,64.6430518609263
St.Catejan Kyaango,Mutomo,Kitui County,"-1.6319557, 38.2005368","St.Catejan Kyaango, Mutomo, Kitui County, Kenya","Kyaango, Kenya",APPROXIMATE,,SUCCESS,327.972542170551,-1.6319557,38.2005368,18,20.71821973657357
Yumbisye Secondary School,Katulani,Kitui County,"-1.4177186, 38.0046056","Yumbisye Secondary School, Katulani, Kitui County, Kenya","H2J3+WR9, Wikililye, Kenya",GEOMETRIC_CENTER,,SUCCESS,296.374141386991,-1.4177186,38.0046056,18,12.20486586976213
